# ACERTO | DESISTENCIA | ERRO | DIFICULDADE
500 | 0 | 0 | EASY
600 | 500 | 250 | EASY
700 | 600 | 300 | EASY
800 | 700 | 350 | EASY
900 | 800 | 400 | EASY
1000 | 900 | 450 | EASY
2000 | 1000 | 500 | EASY
3000 | 2000 | 1000 | EASY
4000 | 3000 | 1500 | EASY
5000 | 4000 | 2000 | EASY
6000 | 5000 | 2500 | EASY
10000 | 6000 | 3000 | EASY
20000 | 10000 | 5000 | MEDIUM
30000 | 20000 | 10000 | MEDIUM
40000 | 30000 | 15000 | MEDIUM
50000 | 40000 | 20000 | MEDIUM
60000 | 50000 | 25000 | MEDIUM
100000 | 60000 | 30000 | MEDIUM
200000 | 100000 | 50000 | MEDIUM
300000 | 200000 | 100000 | HARD
400000 | 300000 | 150000 | HARD
500000 | 400000 | 200000 | HARD
600000 | 500000 | 250000 | HARD
1000000 | 600000 | 0 | HARD
