#  DIFICULDADE | PERGUNTA | RESPOSTA (VERDADEIRA) | RESPOSTA 1 (FALSA) | RESPOSTA 2 (FALSA) | RESPOSTA 3 (FALSA) | RESPOSTA 4 (FALSA)
Easy | Quais são as cores do uniforme do Personagem Chapolin Colorado? | Amarelo e Vermelho | Azul e Laranja | Verde e Amarelo | preto e branco | verde e vermelho
Easy | Quantas cores há em um arco-íris? | 7 | 4 | 5 | 6 | 8
Easy | Qual é a capital do Brasil? | Brasília | Rio de Janeiro | Recife | Curitiba | São Paulo
Easy | Qual é a região mais pobre do Brasil? | Nordeste | Norte | Sudeste | Sul | Centro-oeste
Easy | Qual é a região mais rica do Brasil? | Sul | Norte | Sudeste | Nordeste | Centro-oeste
Easy | Qual é o maior país do mundo? | Rússia | China | Estados Unidos | Brasil | Canadá
Easy | Qual é o maior oceano do mundo? | Pacifico | Indico | atlantico | Polar artico | Polar antartico
Easy | Qual é a capital da França? | Paris | Lião | Nancy | Bordéus | Limoges
Easy | Quem escreveu a obra "1984"? | George Orwell | Stephen King | Franz Kafka | J. K. Rowling | H. P. Lovecraft
Easy | Qual é o maior rio do mundo? | Amazonas | Nilo | Danúbio | Amarelo | Mississippi
Easy | Qual é a montanha mais alta do mundo? | Everest | K2 | kilimanjaro | Aconcágua | Elbrus
Easy | Quem foi o pintor do quadro "A Noite Estrelada"? | Vincent Van Gogh | Claude Monet | Pablo Picasso | Édouard Manet | Auguste Rodin
Easy | Quem foi o líder da Revolução Russa em 1917? | Vladimir Lenin | Leon Trotsky | Josef Stalin | Mikhail Kalinin | Georgy Zhukov
Easy | Qual é o nome do Primeiro livro do antigo testamento da bíblia | Gênesis | Números | Êxodo | Jô | Deuteronômio
Easy | Quem foi o fundador da empresa Microsoft? | Bill Gates | Steve Jobs | Elon Musk | Jeff Bezos | Linus Torvalds
Easy | Qual é o nome da cidade em que Jesus Cristo nasceu? | Belém | Jerusalém | Sidom | Tiro | Aleppo
Easy | Qual é o nome da cidade sagrada do Islã? | Mecca | Mascate | Jerusalém | Cairo | Aleppo
Easy | Qual é o nome da série de livros que documenta todos os recordes já registrados? | Guinness book | Records List | Ranking Book | Crazy Records | All Records
Easy | Em que período se passa a Primeira Guerra Mundial? | 1914 - 1918 | 1867 - 1871 | 1905 - 1907 | 1939 - 1945 | 1802 - 1815
Easy | Em que período se passa a Segunda Guerra Mundial? | 1939 - 1945 | 1914 - 1918 | 1919 - 1921 | 1936 - 1939 |1905 - 1907
Easy | Quem foi o fundador da empresa Tesla? | Elon Musk | Bill Gates | Steve Jobs | Nikola Testa | Linus Torvalds
Easy | Qual é o jogo de videogame mais vendido de todos os tempos? | Tetris | Minecraft | Wii Sports | GTA V | Super mario Bros
Easy | Qual é o nome do primeiro homem criado por Deus? | Adão | Judas | Moisés| Jesus | João Batista
Easy | Quem é o melhor amigo do Bob Esponja? | Patrick | Lula Molusco | Plankton | Sandy | Seu sirigueijo
Easy | Qual é a capital da Itália? | Roma | Veneza | Pisa | Florença | Milão
Easy | Quem foi o inventor da aviação? | Santos Dumont | Irmãos Wright | Nikola Tesla | Graham Bell | Thomas Edison
Easy | Em que Estado Brasileiro se encontra a maior parte da floresta amazônica? | Amazonas | Pará | Rondônia | Acre | Roraima
Easy | Qual é o nome do primeiro homem a pisar na lua? | Neil Armstrong | Alan Shepard | John Glenn | Iuri Gagarin | Buzz Aldrin
Easy | Qual é o país mais populoso do mundo? | Índia | China | Estados Unidos | Indonésia | Paquistão
Easy | Qual é o nome do mar que banha o sul da europa, o norte da áfrica, e a região do levante? | Mediterânio | Negro | Caribe | Caspio | Mar Baltico
Easy | Qual é o nome do cientista responsável pela teoria da relatividade? | Albert Einstein | Isaac Newton | Galileu Galilei | Charles Darwin | Stephen Hawking
Easy | Qual é a capital da Espanha? | Madrid | Barcelona | Valência | Sevilha | Toledo
Easy | Qual é o planeta mais próximo do Sol? | Mercúrio | Vênus | Marte | Terra | Júpiter
Easy | Qual é a capital da Alemanha? | Berlim | Munique | Hamburgo | Colônia | Frankfurt
Easy | Quem foi o líder cubano que comandou a Revolução Cubana em 1959? | Fidel Castro | Salvador Allende | Francisco Franco | Augusto Pinochet | Raul Castro
Easy | Qual é o animal símbolo da Austrália? | Canguru | Coala | Cisne Negro | Ornitorrinco | Diabo-da-tasmânia
Easy | Qual é a capital do México? | Cidade do México | Cancún | Guadalajara | Tijuana | Acapulco
Easy | Qual é a capital do Reino Unido? | Londres | Manchester | Liverpool | Birmingham | Cambridge
Easy | Quem foi o responsável pela reforma protestante durante o século XVI? | Martin Lutero | São Agostinho | São tomás de aquino | Henrique VIII | Nestório
Easy | Qual foi o país pioneiro na exploração do novo mundo durante as grandes navegações? | Portugal | Inglaterra | holanda | França | Dinamarca
Easy | Qual é a capital da China? | Pequim | Xangai | Hong Kong | Tóquio | Bangkok|
Easy | Qual é o maior estado brasileiro em área territorial? | Amazonas | Pará | São Paulo | Minas Gerais | Mato Grosso | Paraná
Easy | Quem foi o líder pacifista que liderou o movimento pela independência da Índia? | Mahatma Gandhi | Merenda Modi | Draupadi Murmu | Gautama Buda | Asoca
Easy | Qual é o maior planeta do nosso sistema solar? | Júpiter | Terra | Netuno | Vênus | Mercúrio
Easy | Qual é o planeta mais distante do sol no nosso sistema solar? | Netuno | Urano | Júpiter | Vênus | Marte
Easy | Qual das 7 maravilhas do mundo antigo ainda existe? | Pirâmides de Gizé | Farol de Alexandria | Colosso de Rhodes | Jardins suspensos da Babilônia | Mausoléu de Halicarnasso
Easy | Qual é o elemento químico símbolo "Fe"? | Ferro | Ouro | Chumbo | Cobre | Sódio
Easy | Que evento determinou a entrada dos Estados Unidos na Segunda Guerra Mundial? | bombardeio de Pearl harbor | invasão alemã da Polônia | Batalha de Stalingrado | Capitulação da França | Batalha de Midway
Easy | Qual é o nome da organização internacional criada após a Segunda Guerra Mundial, que tem como objetivo manter a paz e a segurança mundial? | ONU | OMS | Liga das nações | OTAN | União Europeia
Medium | Quem foi o primeiro presidente eleito democraticamente após a redemocratização do Brasil? | Fernando Collor | Jair Bolsonaro | Itamar Franco | José Sarney | Tancredo Neves
